ADMIN ID 1,Inventory numbers,Photo #,DD-MMM-YYYY,Author,"FABRIC LEVIGATION: count and weigh by group, list number of handles, bases, rims, and body shards under #. Coarse#",Coarse_g,CoarseNotes,Med#,Med_g,MedNotes,Fine#,Fine_g,FineNotes,CHRONOLOGY - indicate presence/absence with Y/N NL,EH,MH,Mycenaean,EIA,Geometric,Archaic,Classical,Hellenistic,Arch_Class,Arch_Class_Hell,Roman,Medieval,EarlyMod,MATERIAL: number Tile,Lithics,WorkedStone,Metal,Bone,Shell,Notes
10074,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",,,,"1 handle, 1 body sherd",39,"Groove on handle, body sherd BG","1 base, 1 body sherd",17,Glazed base Medieval or modern,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,,,,,,
10075,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",,,,,,,1 base,6,Red paint,,,,,,,,,,,,,,,1,,,,,,3 modern yoghurt bowl body sherd
10076,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 modern yoghurt bowl fragment
10077,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR",,,,,,,1 body sherd,5,BG,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,1,,,,,,Roman
10079,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",1 rim,102,,,,,1 base,3,BG paint decoration *,,,,,,,,,,,,,,,2,,,,,,
10080,10080_1 Applied decoration,,Mon Jan 27 00:00:00 CET 2020,"RK, JB, NS, SR","1 handle, 1 body sherd",200,Groove on body sherd *,1 other,9,Cookware,1 other,9,"Figurine fragment, red paint, groove *",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10081,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",,9,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10085,10085_1 Medieval fragment,,Mon Jan 27 00:00:00 CET 2020,"NS, SR",,,,,,,"1 base, 1 body sherd",7,Votive base BG *; Body sherd Byzantine glaze sgraffito,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,1,,,,,,Floor
10086,,,Mon Jan 27 00:00:00 CET 2020,SR,,,,,,,"1 handle, 1 rim",13,BG both,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,,,,,,,
10087,10087_1 Choice assemblage with possible lid,,Tue Jan 28 00:00:00 CET 2020,"DM, LW, RK, JB",,,,"3 bases, 2 rims, 6 body sherds",99,1 combed base; 1 base grey/white fabric; 1 rim grooved; 1 body sherd thick band decoration; 1 body sherd cookware,"42 bases, 18 handles, 8 rims, 156 body sherds, 1 other",373,"Bases various decoration including: BG, red paint, rays, banded; Votive cup bases; 1 handle miniature votive cup; 1 neck BG; 1 rim grooved; Rims various decoration including: BG, bands, red paint; Body sherds various decoration including: BG, applied red paint, dots, bands, rays; 1 other possible lid BG with bands (phiale) *",N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,,,,,
10088,10088_1 Choice assemblage,,Tue Jan 28 00:00:00 CET 2020,"DM, LW",,,,,,,"11 bases, 7 handles, 14 rims, 36 body sherds",96,"*3 bases BG; 7 bases red and BG; 5 handles BG; 2 handles red and BG; 1 rim BG; 2 rims BG and red; 1 aryballos rim *; 1 rim with teardrop pattern*; 1 rim squiggle pattern; 2 body sherds with checkerboard pattern; various body sherds various decoration including: bands, striped pattern, checkerboards, applied red dots *
",N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,1,,,,,
